timestamp_ms,temperature_c,humidity_percent,light_raw,ground_truth,predicted_anomaly,anomaly_score,inference_time_us
68,24.06,50.02,564.93,0,0,0.0,260
165,24.23,49.51,567.64,0,0,0.0,89
265,24.07,49.78,580.84,0,0,0.0,100
365,24.14,49.82,596.84,0,0,0.0,97
465,24.06,49.99,599.56,0,0,0.0,102
565,24.03,50.37,594.65,0,0,0.0,87
665,24.24,50.04,625.12,0,0,0.0,112
765,24.08,50.27,615.27,0,0,0.0,87
865,24.19,49.67,638.18,0,0,0.0,102
965,24.17,49.91,640.78,0,0,0.0,97
1065,24.36,49.79,647.61,0,0,0.0,100
1165,24.25,49.64,656.59,0,0,0.0,87
1265,24.49,49.44,654.4,0,0,0.0,114
1365,24.52,49.65,663.84,0,0,0.0,87
1465,24.19,49.42,684.12,0,0,0.0,100
1565,24.39,50.03,706.4,0,0,0.0,97
1665,24.61,49.77,691.97,0,0,0.0,102
1765,24.49,50.04,697.78,0,0,0.0,87
1865,24.46,49.2,722.03,0,0,0.0,112
1965,24.41,49.26,710.9,0,0,0.0,87
2065,24.38,49.7,719.73,0,0,0.0,102
2165,24.67,49.39,750.9,0,0,0.0,98
2265,24.46,50.02,754.17,0,0,0.0,100
2365,24.57,49.46,748.86,0,0,0.0,87
2465,24.41,49.56,764.24,0,0,0.0,114
2565,24.67,49.64,771.72,0,0,0.0,89
2665,24.51,49.88,780.23,0,0,0.0,115
2765,24.51,49.62,791.22,0,0,0.0,96
2865,24.81,49.14,779.92,0,0,0.0,117
2965,24.58,49.93,802.21,0,0,0.0,89
3065,24.54,49.37,785.69,0,0,0.0,121
3165,24.8,49.72,798.08,0,0,0.0,89
3265,24.78,49.68,796.77,0,0,0.0,117
3365,24.96,49.32,808.64,0,0,0.0,96
3465,24.71,49.93,818.2,0,0,0.0,115
3565,24.98,49.51,823.28,0,0,0.0,90
3665,24.79,49.13,835.49,0,0,0.0,123
3765,25.0,49.25,819.78,0,0,0.0,89
3865,25.04,49.16,831.56,0,0,0.0,113
3965,24.89,49.23,826.39,0,0,0.0,96
4065,24.74,49.6,830.15,0,0,0.0,115
4165,25.01,48.98,832.77,0,0,0.0,89
4265,25.04,49.26,837.05,0,0,0.0,119
4365,24.95,49.4,852.3,0,0,0.0,200
4465,25.11,48.87,858.37,0,0,0.0,134
4565,24.8,49.33,846.36,0,0,0.0,157
4665,25.08,49.59,852.38,0,0,0.0,126
4765,24.88,49.8,858.2,0,0,0.0,161
4865,24.97,49.45,838.94,0,0,0.0,134
4965,25.23,49.39,841.72,0,0,0.0,105
5065,25.09,49.29,858.12,0,0,0.0,180
5165,24.93,49.09,848.16,0,0,0.0,114
5265,24.9,49.32,837.04,0,0,0.0,136
5365,25.12,49.69,860.7,0,0,0.0,99
5465,25.28,48.77,851.56,0,0,0.0,119
5565,25.25,48.91,835.13,0,0,0.0,99
5665,25.22,49.35,836.82,0,0,0.0,119
5765,25.03,48.91,851.61,0,0,0.0,99
5865,25.06,49.69,848.16,0,0,0.0,119
5965,25.33,49.2,840.49,0,0,0.0,99
6065,25.07,49.26,821.62,0,0,0.0,119
6165,25.17,48.83,822.52,0,0,0.0,99
6265,25.17,48.99,830.42,0,0,0.0,119
6365,25.11,49.55,811.09,0,0,0.0,99
6465,25.28,49.22,831.59,0,0,0.0,119
6565,24.99,49.48,822.04,0,0,0.0,99
6665,25.16,49.34,824.3,0,0,0.0,119
6765,25.09,49.63,813.72,0,0,0.0,99
6865,25.26,48.93,788.87,0,0,0.0,119
6965,25.26,48.64,807.58,0,0,0.0,99
7065,25.37,48.77,803.15,0,0,0.0,119
7165,25.2,49.56,787.23,0,0,0.0,99
7265,25.21,49.11,780.22,0,0,0.0,119
