dataset,class,feature,count,mean,standard_deviation,minimum,maximum
train,normal,temperature_c,5705,23.998837861524976,0.8543636029394536,22.6,25.4
train,normal,humidity_percent,5705,50.00315162138476,0.6635725240799213,48.55,51.43
train,normal,light_raw,5705,550.2147151621385,215.95758626974603,235.24,864.85
train,anomaly,temperature_c,295,26.70891525423729,4.42791563995549,22.64,33.04
train,anomaly,humidity_percent,295,39.81762711864407,13.639468905985941,20.22,50.36
train,anomaly,light_raw,295,701.9571525423728,242.66147331061717,399.7,1023.0
validation,normal,temperature_c,2855,24.002437828371274,0.8587037852833965,22.61,25.39
validation,normal,humidity_percent,2855,49.99606654991244,0.6720655875312832,48.62,51.42
validation,normal,light_raw,2855,550.1692049036778,216.25220189075105,235.11,864.51
validation,anomaly,temperature_c,145,26.756620689655172,4.481246915494004,22.63,33.06
validation,anomaly,humidity_percent,145,39.65813793103448,13.727003243111675,20.34,50.27
validation,anomaly,light_raw,145,697.0380689655171,240.73234772684486,400.5,1023.0
test,normal,temperature_c,2855,24.001894921190896,0.8542187340352937,22.61,25.39
test,normal,humidity_percent,2855,50.00009106830123,0.6682740837327693,48.59,51.36
test,normal,light_raw,2855,550.0270683012259,215.94853749193575,235.77,864.78
test,anomaly,temperature_c,145,26.73096551724138,4.471702435584661,22.65,33.02
test,anomaly,humidity_percent,145,39.71282758620689,13.767890568247326,20.25,50.41
test,anomaly,light_raw,145,695.2291724137931,242.0988022869068,399.4,1023.0
