epoch,accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
0,0.33000001311302185,0.6197265982627869,0.3892728388309479,0.047387607395648956,0.6610169410705566,0.661749005317688,0.5166666507720947,0.6741313934326172,0.6274052262306213,0.06354515254497528,0.6551724076271057,0.8217126727104187
1,0.7139999866485596,0.516914427280426,0.6734113693237305,0.10767531394958496,0.6610169410705566,0.8811780214309692,0.815666675567627,0.5071262121200562,0.7044732570648193,0.1588628739118576,0.6551724076271057,0.9240280389785767
2,0.846833348274231,0.4294314384460449,0.6896467208862305,0.19230769574642181,0.6610169410705566,0.9336772561073303,0.859666645526886,0.36845099925994873,0.7156860828399658,0.20386266708374023,0.6551724076271057,0.941003680229187
3,0.8758333325386047,0.3549637496471405,0.7225785255432129,0.2321428507566452,0.6610169410705566,0.9503450393676758,0.8796666860580444,0.2697446346282959,0.7381461262702942,0.2339901477098465,0.6551724076271057,0.954637348651886
4,0.8913333415985107,0.3024097979068756,0.7535493969917297,0.2610441744327545,0.6610169410705566,0.9620463848114014,0.8916666507720947,0.21405918896198273,0.7532485723495483,0.2567567527294159,0.6551724076271057,0.9637055397033691
5,0.8995000123977661,0.2691100537776947,0.7671351432800293,0.27936962246894836,0.6610169410705566,0.9683800935745239,0.9006666541099548,0.18536336719989777,0.7661806344985962,0.27696794271469116,0.6551724076271057,0.9696238040924072
6,0.9181666374206543,0.2454281598329544,0.7796114087104797,0.36197182536125183,0.8711864352226257,0.9730979204177856,0.9266666769981384,0.1632123589515686,0.7795939445495605,0.39726027846336365,1.0,0.9744669795036316
7,0.9321666955947876,0.22520869970321655,0.7919496297836304,0.41999998688697815,0.996610164642334,0.9769996404647827,0.9366666674613953,0.14224258065223694,0.7942777872085571,0.43283581733703613,1.0,0.9786943793296814
8,0.9430000185966492,0.205845907330513,0.8116581439971924,0.4631083309650421,1.0,0.9819114804267883,0.9470000267028809,0.12223515659570694,0.8190330862998962,0.47697368264198303,1.0,0.9841041564941406
9,0.9603333473205566,0.18483728170394897,0.8671963214874268,0.5534709095954895,1.0,0.9906742572784424,0.9789999723434448,0.0942283496260643,0.9474664330482483,0.6971153616905212,1.0,0.9974032640457153
10,0.9921666383743286,0.16139134764671326,0.992124080657959,0.8625730872154236,1.0,0.9996458888053894,0.999666690826416,0.06756187230348587,1.0,0.9931507110595703,1.0,1.0
11,1.0,0.14163699746131897,1.0,1.0,1.0,1.0,1.0,0.055374108254909515,1.0,1.0,1.0,1.0
12,1.0,0.1283700317144394,1.0,1.0,1.0,0.9999999403953552,1.0,0.045513831079006195,1.0,1.0,1.0,1.0
13,1.0,0.11767018586397171,1.0,1.0,1.0,1.0,1.0,0.03802226111292839,1.0,1.0,1.0,0.9999999403953552
14,1.0,0.10855884104967117,1.0,1.0,1.0,1.0,1.0,0.03218409791588783,1.0,1.0,1.0,1.0
15,1.0,0.10069834440946579,1.0,1.0,1.0,1.0,1.0,0.027469385415315628,0.9999999403953552,1.0,1.0,1.0
16,1.0,0.09385751187801361,0.9999999403953552,1.0,1.0,0.9999999403953552,1.0,0.023881494998931885,1.0,1.0,1.0,1.0
17,1.0,0.08784385025501251,1.0,1.0,1.0,0.9999999403953552,1.0,0.020896168425679207,1.0,1.0,1.0,1.0
18,1.0,0.08244631439447403,1.0,1.0,1.0,1.0000001192092896,1.0,0.01838296838104725,1.0,1.0,1.0,1.0
19,1.0,0.07763262093067169,1.0,1.0,1.0,1.0,1.0,0.0164580587297678,1.0,1.0,1.0,1.0
20,1.0,0.07328855246305466,1.0,1.0,1.0,1.0,1.0,0.014733999967575073,1.0,1.0,1.0,1.0
21,1.0,0.0693076103925705,1.0,1.0,1.0,1.0,1.0,0.013273210264742374,1.0,1.0,1.0,1.0
22,1.0,0.06572379171848297,1.0,1.0,1.0,1.0,1.0,0.012055843137204647,1.0,1.0,1.0,1.0
23,1.0,0.06235366687178612,1.0,1.0,1.0,1.0,1.0,0.011005374602973461,1.0,1.0,1.0,0.9999998807907104
24,1.0,0.059247132390737534,1.0,1.0,1.0,1.0,1.0,0.010080310516059399,1.0,1.0,1.0,1.0
25,1.0,0.05639123544096947,1.0,1.0,1.0,1.0,1.0,0.00932243186980486,1.0,1.0,1.0,1.0
26,1.0,0.05371195450425148,1.0,1.0,1.0,1.0,1.0,0.008598863147199154,1.0,1.0,1.0,1.0
27,1.0,0.05119859427213669,1.0,1.0,1.0,1.0,1.0,0.007974104955792427,1.0,1.0,1.0,1.0
28,1.0,0.048846110701560974,1.0,1.0,1.0,0.9999999403953552,1.0,0.007414713501930237,1.0,1.0,1.0,1.0
29,1.0,0.046634741127491,1.0,1.0,1.0,0.9999999403953552,1.0,0.006908324547111988,1.0,1.0,1.0,1.0
30,1.0,0.04455003887414932,1.0,1.0,1.0,1.0,1.0,0.006459575612097979,1.0,1.0,1.0,0.9999999403953552
31,1.0,0.04260651022195816,1.0,1.0,1.0,1.0,1.0,0.006102147977799177,1.0,1.0,1.0,0.9999999403953552
32,1.0,0.04075421765446663,1.0,1.0,1.0,1.0,1.0,0.005721046589314938,1.0,1.0,1.0,1.0
33,1.0,0.03899235278367996,1.0,1.0,1.0,0.9999999403953552,1.0,0.005368709098547697,1.0,1.0,1.0,1.0
34,1.0,0.03732337802648544,1.0,1.0,1.0,1.0,1.0,0.005057148635387421,1.0,1.0,1.0,1.0
