feature_a,feature_b,correlation
MI_dir_L5_weight,H_L5_weight,1.0
MI_dir_L3_mean,H_L3_mean,1.0
MI_dir_L3_variance,H_L3_variance,1.0
HH_L5_weight,HH_jit_L5_weight,1.0
HH_L3_weight,HH_jit_L3_weight,1.0
HH_L1_weight,HH_jit_L1_weight,1.0
HH_L0.1_weight,HH_jit_L0.1_weight,1.0
HH_L0.01_weight,HH_jit_L0.01_weight,1.0
MI_dir_L5_mean,H_L5_mean,0.9999999999999999
MI_dir_L5_variance,H_L5_variance,0.9999999999999994
MI_dir_L3_weight,H_L3_weight,0.9999999999999987
MI_dir_L1_weight,H_L1_weight,0.9999999999995877
MI_dir_L1_variance,H_L1_variance,0.9999999999983542
MI_dir_L0.1_weight,H_L0.1_weight,0.9999999999750282
MI_dir_L0.01_weight,H_L0.01_weight,0.9999999999566579
MI_dir_L0.01_variance,H_L0.01_variance,0.9999999998913518
MI_dir_L0.1_variance,H_L0.1_variance,0.9999999997769925
MI_dir_L1_mean,H_L1_mean,0.9999999996602144
MI_dir_L0.1_mean,H_L0.1_mean,0.9999998046342603
MI_dir_L0.01_mean,H_L0.01_mean,0.9999995926834324
HpHp_L5_mean,HpHp_L3_mean,0.9999995740613942
HpHp_L3_mean,HpHp_L1_mean,0.9999977291808397
HH_L5_mean,HH_L3_mean,0.9999969669408145
HpHp_L5_magnitude,HpHp_L3_magnitude,0.9999960883273968
HpHp_L5_mean,HpHp_L1_mean,0.9999958224536809
HH_jit_L5_mean,HH_jit_L3_mean,0.9999942304261169
HpHp_L0.1_mean,HpHp_L0.01_mean,0.9999928539516985
HH_L5_magnitude,HH_L3_magnitude,0.9999907222055684
HpHp_L3_magnitude,HpHp_L1_magnitude,0.9999906166702042
HpHp_L5_magnitude,HpHp_L1_magnitude,0.9999791480628206
HH_L3_mean,HH_L1_mean,0.9999779303261911
HH_L5_mean,HH_L1_mean,0.9999635236969334
HpHp_L1_mean,HpHp_L0.1_mean,0.9999610911858384
HpHp_L3_mean,HpHp_L0.1_mean,0.9999563351381326
HpHp_L5_mean,HpHp_L0.1_mean,0.9999537669478679
HH_L3_magnitude,HH_L1_magnitude,0.9999479818677607
HpHp_L1_magnitude,HpHp_L0.1_magnitude,0.9999317920245024
HpHp_L1_mean,HpHp_L0.01_mean,0.999926344379386
HpHp_L3_mean,HpHp_L0.01_mean,0.9999213855256999
HpHp_L5_mean,HpHp_L0.01_mean,0.9999187611071134
HH_L5_magnitude,HH_L1_magnitude,0.9999117782629796
HpHp_L3_magnitude,HpHp_L0.1_magnitude,0.9999113366750685
HpHp_L0.1_magnitude,HpHp_L0.01_magnitude,0.9998990665758253
HpHp_L5_magnitude,HpHp_L0.1_magnitude,0.9998962750104364
MI_dir_L0.1_variance,MI_dir_L0.01_variance,0.9998894344968553
MI_dir_L0.1_variance,H_L0.01_variance,0.9998894344767105
H_L0.1_variance,H_L0.01_variance,0.9998894344203818
