label,keras_probability,float32_tflite_probability,int8_tflite_probability
0.000000000000000000e+00,5.028278213081553445e-16,5.028277683685961411e-16,0.000000000000000000e+00
0.000000000000000000e+00,5.868253523000653343e-17,5.868252861256163301e-17,0.000000000000000000e+00
0.000000000000000000e+00,2.084527701462539828e-16,2.084527966160335845e-16,0.000000000000000000e+00
0.000000000000000000e+00,1.448804963532276252e-15,1.448810469246433405e-15,0.000000000000000000e+00
0.000000000000000000e+00,3.203672407654095666e-14,3.203677828664958094e-14,0.000000000000000000e+00
0.000000000000000000e+00,7.306142508243867410e-16,7.306144096430643511e-16,0.000000000000000000e+00
0.000000000000000000e+00,1.952361476697042630e-13,1.952365406929917890e-13,0.000000000000000000e+00
0.000000000000000000e+00,1.123797439112582397e-13,1.123791204950090605e-13,0.000000000000000000e+00
0.000000000000000000e+00,1.454973159098135738e-13,1.454970855168519206e-13,0.000000000000000000e+00
0.000000000000000000e+00,9.206632851921359162e-13,9.206614420484426908e-13,0.000000000000000000e+00
0.000000000000000000e+00,1.955150668100924527e-12,1.955150234420055533e-12,0.000000000000000000e+00
0.000000000000000000e+00,3.010021268692875118e-12,3.010033411757206956e-12,0.000000000000000000e+00
0.000000000000000000e+00,9.268338700685330167e-12,9.268321353450570399e-12,0.000000000000000000e+00
0.000000000000000000e+00,9.556674895883077170e-12,9.556676630606553147e-12,0.000000000000000000e+00
0.000000000000000000e+00,1.478660076326132611e-11,1.478663025356041771e-11,0.000000000000000000e+00
0.000000000000000000e+00,3.960406308456398961e-11,3.960399716507190249e-11,0.000000000000000000e+00
0.000000000000000000e+00,2.493876216647095134e-10,2.493880657539193635e-10,0.000000000000000000e+00
0.000000000000000000e+00,7.821123193529899709e-10,7.821123193529899709e-10,0.000000000000000000e+00
0.000000000000000000e+00,6.940776398067782793e-09,6.940775065800153243e-09,0.000000000000000000e+00
0.000000000000000000e+00,2.477917204757318359e-09,2.477917648846528209e-09,0.000000000000000000e+00
0.000000000000000000e+00,6.400340701873119542e-09,6.400364238601241595e-09,0.000000000000000000e+00
0.000000000000000000e+00,3.369257539631576037e-09,3.369257317586971112e-09,0.000000000000000000e+00
0.000000000000000000e+00,8.029480191851234849e-09,8.029478415494395449e-09,0.000000000000000000e+00
0.000000000000000000e+00,6.976292432625541551e-09,6.976264899094530847e-09,0.000000000000000000e+00
0.000000000000000000e+00,4.259515051785456308e-08,4.259532460082482430e-08,0.000000000000000000e+00
0.000000000000000000e+00,3.920445124094840139e-07,3.920444555660651531e-07,0.000000000000000000e+00
0.000000000000000000e+00,2.956886930860491702e-07,2.956892615202377783e-07,0.000000000000000000e+00
0.000000000000000000e+00,2.537354362175392453e-07,2.537354077958298149e-07,0.000000000000000000e+00
0.000000000000000000e+00,1.080588134527715738e-07,1.080585789736687730e-07,0.000000000000000000e+00
0.000000000000000000e+00,1.215229588069632882e-07,1.215229730178180034e-07,0.000000000000000000e+00
0.000000000000000000e+00,1.819813064685149584e-07,1.819809938297112240e-07,0.000000000000000000e+00
0.000000000000000000e+00,3.025789041544157953e-08,3.025788686272790073e-08,0.000000000000000000e+00
0.000000000000000000e+00,3.075800350416102447e-06,3.075794666074216366e-06,0.000000000000000000e+00
0.000000000000000000e+00,3.425138856982812285e-07,3.425148804581112927e-07,0.000000000000000000e+00
0.000000000000000000e+00,4.740644214962230762e-07,4.740640235922910506e-07,0.000000000000000000e+00
0.000000000000000000e+00,1.973277448996668682e-06,1.973269718291703612e-06,0.000000000000000000e+00
0.000000000000000000e+00,3.079775581227295334e-07,3.079778991832426982e-07,0.000000000000000000e+00
0.000000000000000000e+00,1.110985294872079976e-06,1.110983021135325544e-06,0.000000000000000000e+00
0.000000000000000000e+00,9.635635223048666376e-08,9.635598274826406850e-08,0.000000000000000000e+00
0.000000000000000000e+00,1.106449900589723256e-07,1.106449687426902528e-07,0.000000000000000000e+00
0.000000000000000000e+00,9.309208053309703246e-07,9.309225674769550096e-07,0.000000000000000000e+00
0.000000000000000000e+00,4.193497261439915746e-06,4.193489075987599790e-06,0.000000000000000000e+00
0.000000000000000000e+00,6.049340868230501655e-07,6.049312446521071251e-07,0.000000000000000000e+00
0.000000000000000000e+00,1.144642141071017249e-07,1.144639867334262817e-07,0.000000000000000000e+00
0.000000000000000000e+00,1.424267907168541569e-06,1.424266770300164353e-06,0.000000000000000000e+00
0.000000000000000000e+00,6.314877509794314392e-07,6.314872962320805527e-07,0.000000000000000000e+00
0.000000000000000000e+00,2.692815428417816292e-07,2.692815428417816292e-07,0.000000000000000000e+00
0.000000000000000000e+00,3.375396318006096408e-08,3.375414436845858290e-08,0.000000000000000000e+00
0.000000000000000000e+00,4.432839375567709794e-07,4.432834543877106626e-07,0.000000000000000000e+00
0.000000000000000000e+00,3.327365405425553035e-08,3.327351905113573594e-08,0.000000000000000000e+00
0.000000000000000000e+00,7.297997228761232691e-08,7.297983728449253249e-08,0.000000000000000000e+00
0.000000000000000000e+00,7.960645831417423324e-08,7.960632331105443882e-08,0.000000000000000000e+00
0.000000000000000000e+00,1.084757457192608854e-07,1.084753051827647141e-07,0.000000000000000000e+00
0.000000000000000000e+00,9.168767434175606468e-08,9.168766723632870708e-08,0.000000000000000000e+00
0.000000000000000000e+00,2.324629910788189591e-08,2.324630266059557471e-08,0.000000000000000000e+00
0.000000000000000000e+00,1.081292477778106331e-08,1.081292744231632241e-08,0.000000000000000000e+00
0.000000000000000000e+00,8.295193865137662215e-09,8.295192088780822814e-09,0.000000000000000000e+00
0.000000000000000000e+00,1.541737959520617096e-09,1.541734739873845683e-09,0.000000000000000000e+00
0.000000000000000000e+00,1.645628966429057982e-09,1.645625413715379182e-09,0.000000000000000000e+00
0.000000000000000000e+00,2.920373942671972145e-09,2.920374386761181995e-09,0.000000000000000000e+00
0.000000000000000000e+00,6.822230336211987378e-09,6.822202802680976674e-09,0.000000000000000000e+00
0.000000000000000000e+00,3.987202790156629817e-10,3.987201679933605192e-10,0.000000000000000000e+00
0.000000000000000000e+00,2.399005882836036108e-09,2.399001886033147457e-09,0.000000000000000000e+00
0.000000000000000000e+00,3.151654048849650280e-09,3.151654048849650280e-09,0.000000000000000000e+00
0.000000000000000000e+00,5.459922292061492044e-09,5.459923180239911744e-09,0.000000000000000000e+00
0.000000000000000000e+00,3.510494950287323945e-10,3.510488566504932351e-10,0.000000000000000000e+00
0.000000000000000000e+00,8.547587637686149264e-11,8.547572372119560669e-11,0.000000000000000000e+00
0.000000000000000000e+00,1.031126573014518044e-10,1.031122409678175700e-10,0.000000000000000000e+00
0.000000000000000000e+00,1.948495670367478283e-10,1.948488315139940141e-10,0.000000000000000000e+00
0.000000000000000000e+00,2.552475730777103990e-10,2.552466293881394677e-10,0.000000000000000000e+00
0.000000000000000000e+00,7.153606700061043711e-12,7.153593689634973884e-12,0.000000000000000000e+00
0.000000000000000000e+00,3.626006439549911420e-11,3.626006439549911420e-11,0.000000000000000000e+00
